,Sector,intersection,health,climate
0,Alternative Energy,1.0,21.0,4.0
1,Automobiles & Parts,0.5,12.0,2.0
2,Banks,1.0,28.67,8.67
3,Beverages,0.0,33.0,24.0
4,Chemicals,0.0,7.0,8.0
5,Construction & Materials,0.2,21.4,4.2
6,Diversified,0.42,16.47,5.26
7,Electricity,0.0,36.0,6.0
8,Financial Services,0.25,21.25,1.25
9,Fixed Line Telecommunications,0.0,13.0,0.0
10,Food Producers,0.33,29.0,3.33
11,General Industrials,0.0,20.75,7.75
12,Health Care Equipment & Ser...,11.0,33.0,10.0
13,Industrial Metals & Mining,11.0,131.0,36.0
14,Industrial Transportation,0.0,5.0,3.0
15,Nonlife Insurance,0.0,14.0,6.0
16,"Oil Equipment, Services & D...",0.0,1.0,0.0
17,Pharmaceuticals & Biotechno...,0.17,32.17,2.67
18,Support Services,0.25,22.5,8.5
19,Travel & Leisure,2.0,75.5,20.5
