,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.31,0.46,0.15
1,2012,South and Central America,0.42,0.67,0.0
2,2013,South and Central America,0.58,0.68,0.05
3,2014,South and Central America,0.53,0.93,0.13
4,2015,South and Central America,0.61,0.78,0.17
5,2016,South and Central America,0.53,0.89,0.16
6,2017,South and Central America,0.45,0.88,0.15
7,2018,South and Central America,0.47,0.79,0.15
8,2019,South and Central America,0.45,0.74,0.09
9,2020,South and Central America,0.55,0.87,0.06
10,2021,South and Central America,0.59,0.8,0.23
11,2022,South and Central America,0.69,0.92,0.24
