country,year,sector,name,climate_count,health_count,intersection_count
Australia,2015,HealthCareEquipment&Ser...,International_SOS_UNGC_submission15.pdf?1442985430,1,52,0
Australia,2016,HealthCareEquipment&Ser...,COP_-_International_SOS_-_September_2016.pdf?1474586455,1,79,0
Australia,2017,HealthCareEquipment&Ser...,UNGC_COP_-_International_SOS_-17.pdf?1507163431,1,91,0
Australia,2018,HealthCareEquipment&Ser...,International_SOS_Sustainability_Report19_WEB.pdf?1545386138,5,280,9
Australia,2019,HealthCareEquipment&Ser...,Sustainability_Progress_Update20.pdf?1576751067,3,70,2
Brazil,2012,HealthCareEquipment&Ser...,2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,15,116,5
Brazil,2013,HealthCareEquipment&Ser...,Amilpar%202012%20Sustainability%20report.pdf?1377547547,4,118,0
Brazil,2014,HealthCareEquipment&Ser...,Relat%C3%B3rio_de_Sustentabilidade13.pdf?1408972019,3,98,0
Brazil,2015,HealthCareEquipment&Ser...,2014_Sustainability_Report.pdf?1438952107,3,154,0
Brazil,2015,HealthCareEquipment&Ser...,COP_Pacto_Global_OdontoPrev14_English.pdf?1498759094,0,5,0
Brazil,2016,HealthCareEquipment&Ser...,United_Nations_COP_OdontoPrev15.pdf?1498759737,0,6,0
Brazil,2017,HealthCareEquipment&Ser...,United_Nations_COP_OdontoPrev16.pdf?1498760026,2,7,0
Brazil,2018,HealthCareEquipment&Ser...,United_Nations_COP_OdontoPrev17November.pdf?1542828723,2,8,0
Brazil,2019,HealthCareEquipment&Ser...,F00285_relatorio00x800px_ingles.pdf?1574364502,5,13,0
Brazil,2019,HealthCareEquipment&Ser...,UHG18_Book_navegavel_-_VF_PORT-ING.pdf?1571679641,2,255,1
China,2013,HealthCareEquipment&Ser...,COP_by_Qingdao_Double_Butterfly_Group_Co_Ltd_Dec_2013.pdf?1388368305,1,3,0
China,2013,HealthCareEquipment&Ser...,COP_by_Qingdao_Double_Butterfly_Group_Co_Ltd_January_2nd13.pdf?1357088617,1,3,0
China,2016,HealthCareEquipment&Ser...,%E8%81%94%E5%90%88%E5%9B%BD%E5%85%A8%E7%90%83%E5%A5%91%E7%BA%A616%E5%B9%B4%E5%BA%A6%E8%BF%9B%E5%B1%95%E6%B1%87%E6%8A%A5_COP.pdf?1481875836,0,3,0
China,2016,HealthCareEquipment&Ser...,COP15_%28Kantech%29_.pdf?1458704601,2,0,0
China,2017,HealthCareEquipment&Ser...,%E8%81%94%E5%90%88%E5%9B%BD%E5%85%A8%E7%90%83%E5%A5%91%E7%BA%A617%E5%B9%B4%E5%BA%A6%E8%BF%9B%E5%B1%95%E6%B1%87%E6%8A%A5.pdf?1513228349,0,4,0
Denmark,2011,HealthCareEquipment&Ser...,Communication_on_Progress10.pdf?1298611676,0,2,0
Denmark,2011,HealthCareEquipment&Ser...,Radiometer_Medical_-_CSR_Status_GC10.pdf?1306482668,0,19,0
Denmark,2012,HealthCareEquipment&Ser...,COP11.pdf?1329981305,0,4,0
Denmark,2012,HealthCareEquipment&Ser...,CSR_brochure11-_2012.pdf?1338102611,0,22,0
Denmark,2012,HealthCareEquipment&Ser...,WDH_CoP12.pdf?1336740902,5,1,0
Denmark,2013,HealthCareEquipment&Ser...,Coloplast%20Corporate%20Responsibility%20Report%20and%20CoP%202012-13.pdf?1384505926,2,59,0
Denmark,2013,HealthCareEquipment&Ser...,COP12.pdf?1361432975,0,10,0
Denmark,2013,HealthCareEquipment&Ser...,CSR_brochure12_Radiometer_Medical.pdf?1364201544,0,22,0
Denmark,2013,HealthCareEquipment&Ser...,UN_GC_Communication_on_Progress052013.pdf?1367571638,0,4,0
Denmark,2013,HealthCareEquipment&Ser...,WDH_UNGC_CoP12_Final.pdf?1361915621,3,1,0
Denmark,2014,HealthCareEquipment&Ser...,CR_Report13_14.pdf?1415878767,21,66,1
Denmark,2014,HealthCareEquipment&Ser...,UN_GC_Communication_on_Progress_Final.05.2014.pdf?1398936982,1,12,0
Denmark,2015,HealthCareEquipment&Ser...,AP_Services15_COP.pdf?1449227236,0,5,0
Denmark,2015,HealthCareEquipment&Ser...,CR_Report14_15.pdf?1446627092,19,59,1
Denmark,2015,HealthCareEquipment&Ser...,CSR_report14.pdf?1432814805,3,7,0
Denmark,2015,HealthCareEquipment&Ser...,William_Demant_Holding_UNGC_CoP14.pdf?1424934249,3,7,0
Denmark,2016,HealthCareEquipment&Ser...,AP_Services16_COP.pdf?1478786948,0,5,0
Denmark,2016,HealthCareEquipment&Ser...,AP_Services16_COP.pdf?1481712089,0,5,0
Denmark,2016,HealthCareEquipment&Ser...,CR_Report15_16.pdf?1478088152,16,82,0
Denmark,2016,HealthCareEquipment&Ser...,CSR_Final_version3_Report15_%282%29.pdf?1462796049,0,9,0
Denmark,2016,HealthCareEquipment&Ser...,FN_GC16.pdf?1466769010,1,0,0
Denmark,2016,HealthCareEquipment&Ser...,UN_Global_Compact_Progress_Report15.pdf?1456819450,3,8,0
Denmark,2017,HealthCareEquipment&Ser...,AP_Services17_COP.pdf?1513238378,0,5,0
Denmark,2017,HealthCareEquipment&Ser...,Communication_on_Progress16.pdf?1486622598,0,8,0
Denmark,2017,HealthCareEquipment&Ser...,CR_Report16_17.pdf?1509622380,28,88,2
Denmark,2017,HealthCareEquipment&Ser...,CSR_Report16_Final.pdf?1488200820,4,16,0
Denmark,2017,HealthCareEquipment&Ser...,CSR_report16_FINAL.pdf?1494267224,1,35,0
Denmark,2017,HealthCareEquipment&Ser...,FN_GC17.pdf?1497352866,1,0,0
Denmark,2018,HealthCareEquipment&Ser...,COP2017-GN_Responsibility_Report.pdf?1517998212,0,11,0
Denmark,2018,HealthCareEquipment&Ser...,CR_Report17_18.pdf?1541074887,19,67,1
Denmark,2018,HealthCareEquipment&Ser...,CSR_report17_Final_approved.pdf?1525710293,1,47,0
Denmark,2018,HealthCareEquipment&Ser...,FN_GC18.pdf?1526296877,1,0,0
Denmark,2018,HealthCareEquipment&Ser...,un-global-compact-progress-report-2017.pdf?1519641507,9,24,0
Denmark,2019,HealthCareEquipment&Ser...,Communication_on_Progress18.pdf?1550755935,6,16,0
Denmark,2019,HealthCareEquipment&Ser...,COP_report18.pdf?1557299661,6,32,2
Denmark,2019,HealthCareEquipment&Ser...,CRR19.pdf?1572956096,19,67,1
Denmark,2019,HealthCareEquipment&Ser...,GN_Responsibility_Report__COP18.pdf?1551278943,1,11,0
Finland,2018,HealthCareEquipment&Ser...,UNGC_COP_Lunette18_12.pdf?1546245522,1,38,0
Finland,2019,HealthCareEquipment&Ser...,global_compact_cop_lunette2019.pdf?1577435029,2,41,0
France,2011,HealthCareEquipment&Ser...,ESSILOR_RegistrationDocument10.pdf?1307612983,8,34,0
France,2012,HealthCareEquipment&Ser...,2011_Registration_Document_ESSILOR.pdf?1338819136,9,42,0
France,2013,HealthCareEquipment&Ser...,2012_Registration_Document_ESSILOR.pdf?1370128493,17,68,1
France,2014,HealthCareEquipment&Ser...,2013_Registration_Document_Essilor.pdf?1400732134,26,71,1
France,2015,HealthCareEquipment&Ser...,2014_Registration_Document_Essilor.pdf?1432026288,31,76,2
France,2015,HealthCareEquipment&Ser...,See_Change_Report.pdf?1432026288,2,57,0
France,2016,HealthCareEquipment&Ser...,2015_Registration_Document_Essilor.pdf?1463414119,29,79,2
France,2017,HealthCareEquipment&Ser...,2016_Sustainability__Chap_4_Essilor_Registration_Document.pdf?1493999865,29,54,1
France,2017,HealthCareEquipment&Ser...,COP_-_Plastibell_%28EN%29.pdf?1512719079,0,9,0
France,2017,HealthCareEquipment&Ser...,Essilor_SDG_Contribution_Report.pdf?1498604740,14,41,2
France,2017,HealthCareEquipment&Ser...,RAFFIN_MEDICAL_Sustainable_development_charter17.pdf?1493193027,0,3,0
France,2019,HealthCareEquipment&Ser...,ESSILOR18_SUSTAINABILITY_Chapter_4.2_ENG.pdf?1558969421,45,64,3
Germany,2012,HealthCareEquipment&Ser...,COP2012_.pdf?1331546850,0,1,0
Germany,2012,HealthCareEquipment&Ser...,EPOS_UNGC_CoP11.pdf?1327373352,1,5,0
Germany,2013,HealthCareEquipment&Ser...,Company_Report12_1_.pdf?1359649129,0,14,0
Germany,2013,HealthCareEquipment&Ser...,Company_Report13_%281%29.pdf?1387380948,0,14,0
Germany,2013,HealthCareEquipment&Ser...,COP2013_UNGC.pdf?1362394938,0,1,0
Germany,2013,HealthCareEquipment&Ser...,EPOS_UNGC_CoP12_complete.pdf?1357913583,2,12,0
Germany,2014,HealthCareEquipment&Ser...,COP2014_UNGlobalCompact_dt_engl.pdf?1392883322,0,2,0
Germany,2014,HealthCareEquipment&Ser...,elm-plastic_COP14_en.pdf?1415778577,0,3,0
Germany,2014,HealthCareEquipment&Ser...,KARL_STORZ_COP14-high-E.pdf?1419946560,0,6,0
Germany,2015,HealthCareEquipment&Ser...,COP2015_UN_GlobalCompact_1dt_engl.pdf?1423471949,0,2,0
