	sector	country	year	language	sdgs3	sdgs13
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470754/original/COP_GSYF_al_03_enero_2019.pdf?1546622050	Life Insurance	Mexico	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470755/original/2018-12-21_RS2017_BAJA.pdf?1546626360	Gas, Water & Multiutilities	Argentina	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470757/original/Tropicoir_Lanka_%28Pvt%29_Ltd_-_COP_2017-2018.pdf?1546695028	General Industrials	Sri Lanka	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470758/original/CoP_Jisa_2017.pdf?1546724246	Construction & Materials	Mexico	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470759/original/ENVICCOL-Informe_COP-2018.pdf?1546730583	Alternative Energy	Colombia	2019	Spanish	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470760/original/ENVICCOL-Informe_COP-2018.pdf?1546730617	Alternative Energy	Colombia	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470761/original/MC_Integrated_Report_2018_%28English%29.pdf?1546823687	General Industrials	Japan	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470764/original/Communication_on_Progress_2019.pdf?1546856880	Health Care Equipment & Ser...	Germany	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470766/original/4C_Strategies_Communication_on_Progress_2018.pdf?1546873256	Support Services	Sweden	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470768/original/2017_AYS_Informe_de_Progreso.pdf?1546891335	Construction & Materials	Spain	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470769/original/COP_2018_VALHPAC.pdf?1546900822	Food Producers	Mexico	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470771/original/20180824_en_sustainability_report2018_2.pdf?1546910890	Electronic & Electrical Equ...	Japan	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470772/original/20180622_sustainability_report2018_2.pdf?1546910891	Electronic & Electrical Equ...	Japan	2019	Japanese	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470773/original/20181227_cn_sustainability_report2018.pdf?1546910891	Electronic & Electrical Equ...	Japan	2019	Chinese-Mandarin	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470775/original/Informe_de_Progreso_Rivamadrid_2017.pdf?1546932622	Support Services	Spain	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470778/original/267282935_q_app_Informe_TERMI_RSE__Pacto_Global.pdf?1546935491	Automobiles & Parts	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470779/original/DIC_Report2018.pdf?1546935665	Chemicals	Japan	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470782/original/Informe_de_Progreso_2017-2018.pdf?1546940190	Food & Beverage	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470784/original/CATOR_Informe_Progreso_2018.pdf?1546942233	Oil & Gas Producers	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470786/original/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%90%D0%BB%D0%B8%D0%B2%D0%B0%D1%80%D0%B8%D1%8F_%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%B2.pdf?1546947652	Beverages	Belarus	2019	Russian	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470788/original/eManage_COP_2019.pdf?1546953622	Software & Computer Services	Kenya	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470789/original/COP_PACTE_MONDIAL_2018.pdf?1546957912	Construction & Materials	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470790/original/RapportRSE-UTB_2017_edition_juin_2018.pdf?1546957912	Construction & Materials	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470793/original/Chemonics_UNGC_Communication_on_Progress_2019.pdf?1546962550	Diversified	United State...	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470794/original/Informe_de_Progreso_2018.pdf?1546962593	Technology	Spain	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470798/original/2018_UN_Global_Compact_COP.pdf?1546972306	Construction & Materials	United State...	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470799/original/2017_RapportNonFinancier_EN_v002_WEB.pdf?1546973138	Nonlife Insurance	Belgium	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470802/original/rsd17en.pdf?1546978474	Food Producers	Egypt	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470803/original/rsd17en.pdf?1546979362	Food Producers	Egypt	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470804/original/rsd17en.pdf?1546979464	Food Producers	Egypt	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470805/original/rsd17en.pdf?1546980215	Food Producers	Egypt	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470807/original/United_Nations_Global_Compact_-_2018.pdf?1547012296	Food Producers	Bangladesh	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470814/original/COP_Cecoforma.pdf?1547023902	Support Services	Belgium	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470816/original/GW_Communication_on_Progress_2017.pdf?1547028899	Industrial Transportation	Austria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470817/original/Nordic_GC_COP.pdf?1547029294	Support Services	Norway	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470819/original/Memoria_Grupo_Riquelme_2017_-_2018_alta.pdf?1547039751	General Retailers	Paraguay	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470820/original/COP_2018_%282%29.pdf?1547041517	Software & Computer Services	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470823/original/N-GC1811AM01.pdf?1547046093	Software & Computer Services	France	2019	French	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470824/original/482803465_q_app_pacto_SOC_energy_2017.pdf?1547048826	Gas, Water & Multiutilities	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470827/original/Informe_de_Progreso_2018.pdf?1547051134	Industrial Engineering	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470828/original/Oxford_Policy_Management_United_Nations_Global_Compact_CoP_Jan_19.pdf?1547052289	Diversified	United Kingdom	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470829/original/Informe_de_progreso_Labor10_-_2017.pdf?1547054568	Support Services	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470830/original/Memoria_de_Sostenibilidad_2017.pdf?1547055131	Personal Goods	Spain	2019	Spanish	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470832/original/%28190109%29_UNGC_%EC%9D%B4%ED%96%89%EB%B3%B4%EA%B3%A0%EC%84%9C_B%EC%95%88.pdf?1547085698	Financial Services	Korea, Repub...	2019	Korean	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470834/original/Alfa_Sustainability_Report_2016-2017_-_Final.pdf?1547106247	Mobile Telecommunications	Lebanon	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470837/original/_Comunicazione_annuale_Tper_SpA.pdf?1547112926	Gas, Water & Multiutilities	Italy	2019	Italian	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470838/original/allegatoA.pdf?1547112926	Gas, Water & Multiutilities	Italy	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470839/original/bilancio_sostenibile_2017_WEB.pdf?1547112926	Gas, Water & Multiutilities	Italy	2019	Italian	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470840/original/Bilancio_di_sostenibilit_2017_16_EN.pdf?1547112926	Gas, Water & Multiutilities	Italy	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470842/original/informe_progreso_2017_MOBEL_LINEA.pdf?1547118433	Construction & Materials	Spain	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470844/original/SHAREHOLDERS_LETTER.pdf?1547122090	General Retailers	Nigeria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470845/original/ANTI__CORRUPTION.pdf?1547122090	General Retailers	Nigeria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470846/original/ENVIRONMENT.pdf?1547122090	General Retailers	Nigeria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470847/original/HUMAN_RIGHTS_PRINCIPLE.pdf?1547122090	General Retailers	Nigeria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470848/original/LABOUR.pdf?1547122090	General Retailers	Nigeria	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470849/original/Outsource_Technique_Ltd_Communication_on_Progress_2018.pdf?1547123020	Electronic & Electrical Equ...	Kenya	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470852/original/Reporte_de_Sustentabilidad_Ejercicio_2018.pdf?1547139333	Pharmaceuticals & Biotechno...	Argentina	2019	Spanish	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470853/original/Optimex_-_COP_2018.pdf?1547139531	Industrial Engineering	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470856/original/IPACKCHEM_2017-2018_contribution_reporting_to_UN_SDGs.pdf?1547141879	General Industrials	France	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470857/original/Neuberger_Berman_UN_Global_Compact_COP_Submission_2019_Final.pdf?1547150778	Financial Services	United State...	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470863/original/Pacte_Mondial_des_Nations_Unies_Communication_2019_v1.0.pdf?1547194286	Software & Computer Services	France	2019	French	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470864/original/COP_2018_TagG_Informatique.pdf?1547196554	General Industrials	France	2019	French	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470867/original/2018report_casio_all.pdf?1547199793	Leisure Goods	Japan	2019	Japanese	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470869/original/COP_Responsabilit%C3%A9_Soci%C3%A9tale_et_Environnementale_d'e-Qual_FR.pdf?1547201089	Software & Computer Services	France	2019	French	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470870/original/CWS_boco_CoP2017_CEO_statement.pdf?1547202409	General Industrials	Germany	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470871/original/CWS_boco_CoP2017.pdf?1547202409	General Industrials	Germany	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470872/original/180921_CWS-boco_Gesamt-pdf_ENG.pdf?1547202409	General Industrials	Germany	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470873/original/Informe_del_progreso_2017.pdf?1547202987	Construction & Materials	Spain	2019	Spanish	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470874/original/COP_Responsabilit%C3%A9_Soci%C3%A9tale_et_Environnementale_d'e-Qual_EN.pdf?1547203463	Software & Computer Services	France	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470875/original/Kis_2017.110119.pdf?1547203694	Pharmaceuticals & Biotechno...	Turkey	2019	Turkish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470876/original/PS_REPORTE_2017-2018.pdf?1547207369	Health Care Equipment & Ser...	Argentina	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470877/original/data-report.pdf?1547207757	Real Estate Investment Trusts	United Kingdom	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470878/original/Annual_Report_2018.pdf?1547207757	Real Estate Investment Trusts	United Kingdom	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470880/original/INFORME_PROGRESO_2017_FIRMADO.pdf?1547210425	General Retailers	Spain	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470881/original/INFORME_DE_PROGRESO_2019_Rev._0.pdf?1547211006	Fixed Line Telecommunications	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470883/original/Enera_Energy_and_Movily_Informe_de_Progreso_2017.pdf?1547214120	Alternative Energy	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470884/original/COP_2018.pdf?1547219291	Support Services	Sweden	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470885/original/Principales_actions_Pacte_Mondial_2019.pdf?1547219537	Chemicals	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470886/original/Code_of_Conduct_SNF_Group.pdf?1547219537	Chemicals	France	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470887/original/Code_de_conduite_du_Groupe_SNF.pdf?1547219537	Chemicals	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470888/original/UN_Global_Compact_-_COP_2018_Ximedes.pdf?1547220508	Software & Computer Services	Netherlands	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470889/original/COP_2017_VR1.pdf?1547220999	Fixed Line Telecommunications	Panama	2019	Spanish	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470890/original/COP_2018_VR1.pdf?1547221703	Fixed Line Telecommunications	Panama	2019	Spanish	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470891/original/LEM_Holding_CoP2019_to_UNGC.pdf?1547222502	Electronic & Electrical Equ...	Switzerland	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470895/original/UNGC_Communication_on_progress_2019.pdf?1547235670	Industrial Engineering	Sweden	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470896/original/COP_SBK_2018.pdf?1547236875	Software & Computer Services	Brazil	2019	Portuguese	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470897/original/UNGC_COP_2019.pdf?1547240066	Technology Hardware & Equip...	United State...	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470898/original/Tasmane_COP2018.pdf?1547246516	Support Services	France	2019	French	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470899/original/COP_2019_AEMX.pdf?1547248423	Automobiles & Parts	Mexico	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470900/original/ATC_CoP-_2017-2018_.pdf?1547252073	Nonequity Investment Instru...	Egypt	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470901/original/Communication_On_Progres-s_%28CCI%29_2018-2019.pdf?1547275511	Food Producers	Myanmar	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470902/original/UNGLOBAL2018.pdf?1547292740	Construction & Materials	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470904/original/Informe-Anual-Sanitas-2017.pdf?1547322009	Financial Services	Spain	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470905/original/COP.pdf?1547325294	Household Goods & Home Cons...	Kenya	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470906/original/Informe_de__Sostenibilidad_Dolphin_Discovery_2017.pdf?1547325445	Travel & Leisure	Mexico	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470907/original/COP_2018.pdf?1547383852	Travel & Leisure	United Arab ...	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470908/original/Profiler_GmbH_Communication_on_Progress_2019.pdf?1547410573	Support Services	Germany	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470909/original/2018_UPA_Sustainability_Report.pdf?1547432782	Support Services	Korea, Repub...	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470910/original/UNICEPTA_COP_2018.pdf?1547447061	Media	Germany	2019	German	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470911/original/KPLC_Annual_Report_17_12_2018_Wed.pdf?1547450724	Electricity	Kenya	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470915/original/Communication_of_Progress-2018.pdf?1547460131	Industrial Transportation	Bulgaria	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470916/original/Statment_of_support_Global_Compact_2019.pdf?1547461400	Financial Services	Sweden	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470917/original/kpa-hallbarhetsredovisning_2017_k15.pdf?1547461400	Financial Services	Sweden	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470919/original/UN_Global_Compact_2019.pdf?1547467917	Financial Services	United State...	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470922/original/CARTA_EMASAGRA_RENOVACION_PACTO_MUNDIAL.pdf?1547470547	Gas, Water & Multiutilities	Spain	2019	Spanish	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470926/original/2019_COP_COVER__LETTER.pdf?1547478705	Financial Services	Nigeria	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470927/original/2019_COP_ATTACHMENT.pdf?1547478705	Financial Services	Nigeria	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470928/original/livret_DD.pdf?1547480987	Diversified	France	2019	French	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470932/original/2019_COP_-__Statement_of_Support_by_CEO_%28January_2019%29_.pdf?1547489874	Media	United State...	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470933/original/FY18_Citizenship_Report_Act_With_Certainty.pdf?1547489874	Media	United State...	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470939/original/Reporte_de_sostenibilidad_2017.pdf?1547490451	Construction & Materials	Argentina	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470945/original/2018_Eng_all.pdf?1547521684	Forestry & Paper	Japan	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470947/original/e-Zest_UN_Global_Compact_COP_2018-19.pdf?1547535004	Software & Computer Services	India	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470949/original/WGES_UN_GC_COP_Final.pdf?1547537704	Alternative Energy	Norway	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470954/original/PACTO_MUNDIAL_-_INFORME.pdf?1547553550	Household Goods & Home Cons...	Spain	2019	Spanish	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470955/original/FPL_SR_2018_%28Published%29.pdf?1547555960	Real Estate Investment & Se...	Singapore	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470958/original/Trinomics_UN_Global_Compact_FINAL.pdf?1547561671	Diversified	Netherlands	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470960/original/Informe_Pacto_Global_2018.pdf?1547564662	Construction & Materials	Colombia	2019	Spanish	yes	yes
