Sector,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aerospace&Defense,NA,NA,NA,NA,NA,NA,NA,14,14,21,24,25,29,25,29,37
AlternativeEnergy,NA,NA,NA,NA,NA,NA,NA,9,5,6,12,19,28,18,21,26
Automobiles&Parts,NA,NA,NA,NA,NA,NA,NA,30,49,55,54,67,66,60,62,77
Banks,NA,NA,NA,NA,NA,NA,NA,23,35,40,40,49,59,81,67,83
Beverages,NA,NA,NA,NA,NA,NA,NA,42,54,49,48,38,45,43,50,54
Chemicals,NA,NA,NA,NA,NA,NA,NA,51,60,59,71,87,73,70,96,112
Construction&Materials,NA,NA,NA,NA,NA,NA,NA,79,94,135,134,157,162,157,134,156
Diversified,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,5,21,32,95
Electricity,NA,NA,NA,NA,NA,NA,NA,25,34,30,38,36,35,34,41,45
Electronic&ElectricalEqu...,NA,NA,NA,NA,NA,NA,NA,25,60,84,109,107,96,98,99,101
EquityInvestmentInstruments,NA,NA,NA,NA,NA,NA,NA,1,7,13,13,14,16,11,9,13
FinancialServices,NA,NA,NA,NA,NA,NA,NA,99,138,162,146,167,195,191,192,226
FixedLineTelecommunications,NA,NA,NA,NA,NA,NA,NA,17,21,21,22,23,26,31,27,18
Food&DrugRetailers,NA,NA,NA,NA,NA,NA,NA,4,2,4,6,4,7,9,7,6
FoodProducers,NA,NA,NA,NA,NA,NA,NA,51,70,82,97,87,94,104,105,99
Forestry&Paper,NA,NA,NA,NA,NA,NA,NA,20,29,32,39,31,26,32,32,26
"Gas,Water&Multiutilities",NA,NA,NA,NA,NA,NA,NA,21,18,18,21,25,35,24,32,21
GeneralIndustrials,NA,NA,NA,NA,NA,NA,NA,106,134,171,172,191,208,191,218,230
GeneralRetailers,NA,NA,NA,NA,NA,NA,NA,40,55,63,72,79,92,74,92,92
HealthCareEquipment&Ser...,NA,NA,NA,NA,NA,NA,NA,17,22,39,38,36,46,42,43,50
HouseholdGoods&HomeCons...,NA,NA,NA,NA,NA,NA,NA,16,21,32,29,28,36,37,37,36
IndustrialEngineering,NA,NA,NA,NA,NA,NA,NA,28,53,54,65,79,78,78,71,65
IndustrialGoods&Services,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
IndustrialMetals&Mining,NA,NA,NA,NA,NA,NA,NA,55,58,51,68,59,54,68,54,44
IndustrialTransportation,NA,NA,NA,NA,NA,NA,NA,31,56,65,73,75,88,77,81,69
LeisureGoods,NA,NA,NA,NA,NA,NA,NA,1,4,6,9,11,9,15,11,17
LifeInsurance,NA,NA,NA,NA,NA,NA,NA,2,3,7,5,9,13,13,11,12
Media,NA,NA,NA,NA,NA,NA,NA,34,56,57,86,67,76,78,68,72
Mining,NA,NA,NA,NA,NA,NA,NA,7,13,15,17,22,30,24,23,24
MobileTelecommunications,NA,NA,NA,NA,NA,NA,NA,18,28,34,35,42,44,53,38,32
NonequityInvestmentInstru...,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,4,3,5
NonlifeInsurance,NA,NA,NA,NA,NA,NA,NA,7,6,9,11,15,13,17,22,20
NotApplicable,NA,NA,NA,NA,NA,NA,NA,32,45,52,6,5,5,2,NA,NA
Oil&GasProducers,NA,NA,NA,NA,NA,NA,NA,41,47,62,59,60,57,56,55,58
"OilEquipment,Services&D...",NA,NA,NA,NA,NA,NA,NA,7,11,16,27,22,37,26,32,38
PersonalGoods,NA,NA,NA,NA,NA,NA,NA,27,54,59,52,70,69,77,65,74
Pharmaceuticals&Biotechno...,NA,NA,NA,NA,NA,NA,NA,35,42,41,44,41,48,48,56,73
RealEstate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
RealEstateInvestment&Se...,NA,NA,NA,NA,NA,NA,NA,9,25,32,38,45,52,58,60,64
RealEstateInvestmentTrusts,NA,NA,NA,NA,NA,NA,NA,2,3,5,4,4,10,10,12,9
Retail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Software&ComputerServices,NA,NA,NA,NA,NA,NA,NA,38,56,80,73,100,123,121,113,150
SupportServices,NA,NA,NA,NA,NA,NA,NA,121,163,228,257,302,286,315,308,338
TechnologyHardware&Equip...,1,1,1,1,1,1,1,47,54,66,68,83,86,86,79,80
Tobacco,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA
Travel&Leisure,NA,NA,NA,NA,NA,NA,NA,29,65,68,72,64,89,82,74,80
