,Sector,Climate,Health,Intersection,Year
0,Beverages,0.5,1.0,0.0,2021
1,Construction & Materials,1.0,1.0,0.5,2021
2,Diversified,0.4,0.6,0.2,2021
3,Financial Services,0.38,0.69,0.0,2021
4,Food Producers,0.5,1.0,0.5,2021
5,Forestry & Paper,1.0,1.0,0.0,2021
6,Household Goods & Home Cons...,0.0,1.0,0.0,2021
7,Industrial Metals & Mining,0.5,0.77,0.04,2021
8,Not Applicable,0.0,1.0,0.0,2021
9,Oil & Gas Producers,0.0,1.0,0.0,2021
10,Software & Computer Services,0.0,0.67,0.0,2021
11,Technology Hardware & Equip...,0.0,1.0,0.0,2021
