,Year,HDI Level (2021),Climate,Health,Intersection
1,2011,High,0.65,0.74,0.24
6,2012,High,0.58,0.7,0.21
11,2013,High,0.59,0.79,0.22
16,2014,High,0.53,0.76,0.19
21,2015,High,0.53,0.77,0.15
26,2016,High,0.5,0.7,0.18
31,2017,High,0.55,0.73,0.21
36,2018,High,0.55,0.7,0.18
41,2019,High,0.54,0.74,0.22
46,2020,High,0.58,0.76,0.27
51,2021,High,0.6,0.76,0.35
56,2022,High,0.66,0.74,0.37
2,2011,Low,0.55,0.8,0.15
7,2012,Low,0.54,0.82,0.25
12,2013,Low,0.32,0.75,0.08
17,2014,Low,0.34,0.68,0.05
22,2015,Low,0.49,0.82,0.13
27,2016,Low,0.4,0.77,0.12
32,2017,Low,0.41,0.85,0.12
37,2018,Low,0.5,0.88,0.18
42,2019,Low,0.51,0.79,0.17
47,2020,Low,0.62,0.75,0.21
52,2021,Low,0.6,0.82,0.2
57,2022,Low,0.77,0.91,0.43
3,2011,Medium,0.55,0.79,0.21
8,2012,Medium,0.5,0.85,0.16
13,2013,Medium,0.47,0.81,0.11
18,2014,Medium,0.49,0.8,0.1
23,2015,Medium,0.46,0.79,0.14
28,2016,Medium,0.53,0.79,0.15
33,2017,Medium,0.51,0.78,0.14
38,2018,Medium,0.5,0.82,0.15
43,2019,Medium,0.55,0.83,0.2
48,2020,Medium,0.53,0.84,0.2
53,2021,Medium,0.58,0.86,0.3
58,2022,Medium,0.64,0.83,0.34
4,2011,Very High,0.73,0.84,0.25
9,2012,Very High,0.7,0.82,0.21
14,2013,Very High,0.65,0.81,0.19
19,2014,Very High,0.65,0.8,0.19
24,2015,Very High,0.65,0.81,0.21
29,2016,Very High,0.64,0.8,0.22
34,2017,Very High,0.67,0.8,0.23
39,2018,Very High,0.69,0.82,0.27
44,2019,Very High,0.71,0.85,0.28
49,2020,Very High,0.77,0.86,0.38
54,2021,Very High,0.78,0.86,0.47
59,2022,Very High,0.81,0.85,0.49
