,Sector,intersection,health,climate
0,Aerospace & Defense,2.88,63.62,33.31
1,Alternative Energy,3.05,29.1,38.52
2,Automobiles & Parts,2.45,51.03,42.86
3,Banks,3.06,48.98,51.67
4,Beverages,2.59,44.27,29.18
5,Chemicals,6.38,74.01,47.86
6,Construction & Materials,2.89,34.09,30.73
7,Diversified,2.28,37.77,24.43
8,Electricity,3.82,60.67,62.16
9,Electronic & Electrical Equ...,2.04,40.01,32.69
10,Equity Investment Instruments,1.78,19.06,23.67
11,Financial Services,2.63,34.63,39.26
12,Fixed Line Telecommunications,1.46,43.31,23.81
13,Food & Drug Retailers,4.0,84.6,49.73
14,Food Producers,3.04,53.4,21.94
15,Forestry & Paper,2.58,45.65,40.46
16,"Gas, Water & Multiutilities",4.11,59.18,71.0
17,General Industrials,2.11,36.21,25.56
18,General Retailers,1.34,29.97,20.0
19,Health Care Equipment & Ser...,5.14,79.82,16.4
20,Household Goods & Home Cons...,2.34,73.8,52.88
21,Industrial Engineering,2.53,31.91,26.64
22,Industrial Metals & Mining,3.69,59.94,39.05
23,Industrial Transportation,2.0,32.66,24.78
24,Leisure Goods,0.85,18.7,13.2
25,Life Insurance,19.32,90.95,70.23
26,Media,0.76,19.63,10.72
27,Mining,3.33,90.46,56.75
28,Mobile Telecommunications,1.78,50.22,36.88
29,Nonequity Investment Instru...,0.0,4.0,12.67
30,Nonlife Insurance,4.16,47.71,35.77
31,Oil & Gas Producers,5.36,59.58,60.42
32,"Oil Equipment, Services & D...",2.08,20.97,23.84
33,Personal Goods,1.72,39.7,20.41
34,Pharmaceuticals & Biotechno...,6.4,106.44,21.68
35,Real Estate Investment & Se...,3.26,57.88,40.53
36,Real Estate Investment Trusts,6.0,59.33,53.93
37,Retail,0.0,2.0,0.0
38,Software & Computer Services,1.33,18.76,16.11
39,Support Services,1.31,21.05,15.93
40,Technology Hardware & Equip...,1.52,28.54,24.63
41,Travel & Leisure,1.96,40.43,25.39
