,Year,intersection,health,climate
0,2011,0.09090909090909091,10.727272727272727,0.9090909090909091
1,2012,0.4,19.466666666666665,3.1333333333333333
2,2013,0.6875,11.1875,1.4375
3,2014,0.35714285714285715,12.642857142857142,1.7142857142857142
4,2015,0.13333333333333333,11.466666666666667,1.6
5,2016,0.5,10.2,1.35
6,2017,0.7857142857142857,13.357142857142858,1.6428571428571428
7,2018,0.5,25.071428571428573,3.5
8,2019,0.5625,15.5625,3.625
9,2020,1.4285714285714286,35.57142857142857,9.428571428571429
10,2021,0.6,21.05,4.4
11,2022,1.6666666666666667,41.53333333333333,14.133333333333333
