,Year,intersection,health,climate
0,2011,0.07142857142857142,8.928571428571429,16.0
1,2012,0.0,7.411764705882353,6.294117647058823
2,2013,0.28,15.08,12.16
3,2014,0.125,12.416666666666666,8.541666666666666
4,2015,0.28,19.96,11.44
5,2016,0.16666666666666666,12.208333333333334,7.166666666666667
6,2017,0.46875,18.09375,6.75
7,2018,0.5,25.4375,13.5625
8,2019,0.8709677419354839,26.193548387096776,15.32258064516129
9,2020,2.36,41.24,27.52
10,2021,2.685185185185185,45.925925925925924,23.35185185185185
11,2022,3.2264150943396226,56.56603773584906,35.320754716981135
