,Sector,intersection,climate,health
0,Alternative Energy,2.0,20.0,85.0
1,Automobiles & Parts,1.0,4.0,24.0
2,Banks,29.0,314.0,1259.0
3,Beverages,18.0,78.0,264.0
4,Chemicals,0.0,11.0,40.0
5,Construction & Materials,8.0,65.0,732.0
6,Diversified,13.0,151.0,983.0
7,Electricity,0.0,12.0,93.0
8,Financial Services,1.0,49.0,436.0
9,Fixed Line Telecommunications,0.0,3.0,51.0
10,Food Producers,43.0,177.0,2005.0
11,"Gas, Water & Multiutilities",0.0,0.0,13.0
12,General Industrials,0.0,34.0,131.0
13,Health Care Equipment & Ser...,22.0,20.0,64.0
14,Industrial Metals & Mining,15.0,78.0,301.0
15,Industrial Transportation,0.0,3.0,45.0
16,Life Insurance,0.0,0.0,13.0
17,Media,0.0,3.0,50.0
18,Mobile Telecommunications,2.0,39.0,47.0
19,Nonlife Insurance,3.0,156.0,467.0
20,Not Applicable,8.0,15.0,13.0
21,Oil & Gas Producers,8.0,64.0,525.0
22,"Oil Equipment, Services & D...",0.0,30.0,143.0
23,Personal Goods,1.0,13.0,75.0
24,Pharmaceuticals & Biotechno...,6.0,24.0,320.0
25,Support Services,6.0,146.0,444.0
26,Travel & Leisure,6.0,42.0,180.0
