,Year,intersection,health,climate
0,2011,0.7692307692307693,8.384615384615385,6.0
1,2012,0.0,13.333333333333334,2.75
2,2013,0.10526315789473684,17.94736842105263,2.789473684210526
3,2014,0.4666666666666667,38.53333333333333,5.6
4,2015,0.9444444444444444,28.61111111111111,2.6666666666666665
5,2016,0.5789473684210527,21.157894736842106,3.5789473684210527
6,2017,0.7272727272727273,19.757575757575758,4.03030303030303
7,2018,0.29411764705882354,20.441176470588236,2.6470588235294117
8,2019,0.1320754716981132,14.622641509433961,2.2830188679245285
9,2020,0.06382978723404255,15.787234042553191,1.9574468085106382
10,2021,0.7727272727272727,30.90909090909091,4.787878787878788
11,2022,0.6944444444444444,24.916666666666668,6.041666666666667
