,Sector,intersection,climate,health
0,Automobiles & Parts,1.0,64.0,132.0
1,Banks,0.0,5.0,26.0
2,Beverages,18.0,145.0,338.0
3,Chemicals,0.0,47.0,334.0
4,Construction & Materials,73.0,824.0,1684.0
5,Diversified,4.0,72.0,231.0
6,Financial Services,27.0,395.0,383.0
7,Fixed Line Telecommunications,111.0,273.0,514.0
8,Food & Drug Retailers,4.0,57.0,125.0
9,Food Producers,8.0,740.0,778.0
10,Forestry & Paper,0.0,0.0,0.0
11,"Gas, Water & Multiutilities",0.0,0.0,0.0
12,General Retailers,9.0,152.0,318.0
13,Media,0.0,1.0,2.0
14,Mobile Telecommunications,7.0,193.0,205.0
15,Nonlife Insurance,1.0,42.0,71.0
16,Oil & Gas Producers,27.0,163.0,552.0
17,"Oil Equipment, Services & D...",0.0,14.0,63.0
18,Pharmaceuticals & Biotechno...,3.0,5.0,82.0
19,Software & Computer Services,8.0,36.0,121.0
20,Support Services,2.0,6.0,58.0
21,Technology Hardware & Equip...,8.0,113.0,332.0
22,Travel & Leisure,0.0,3.0,2.0
