,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.58,0.79,0.19
1,2012,South and Central America,0.57,0.78,0.12
2,2013,South and Central America,0.56,0.78,0.1
3,2014,South and Central America,0.48,0.78,0.14
4,2015,South and Central America,0.44,0.78,0.14
5,2016,South and Central America,0.35,0.75,0.11
6,2017,South and Central America,0.43,0.79,0.12
7,2018,South and Central America,0.43,0.82,0.1
8,2019,South and Central America,0.5,0.84,0.11
9,2020,South and Central America,0.58,0.84,0.23
10,2021,South and Central America,0.61,0.88,0.25
11,2022,South and Central America,0.64,0.86,0.27
