Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,1,0
1973,0,0,0
1974,0,1,0
1975,0,0,0
1976,0,1,0
1977,0,2,0
1978,0,3,0
1979,0,1,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,1,0
1985,0,1,0
1986,0,0,0
1987,0,1,0
1988,0,0,0
1989,0,2,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,1,0
1994,0,1,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,1,0,0
1999,0,1,0
2000,0,2,0
2001,0,1,0
2002,0,0,0
2003,0,4,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,4,0,0
2008,6,0,0
2009,7,3,1
2010,0,3,0
2011,1,1,1
2012,0,4,0
2013,0,0,0
2014,2,4,4
2015,3,3,1
2016,1,1,0
2017,3,1,0
2018,0,0,0
2019,0,2,0
2020,0,6,0
2021,5,15,0
2022,6,7,0
