Year,Climate,Health,Intersection
1970,0,0,0
1971,0,1,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,1,0
1982,0,0,0
1983,0,0,0
1984,0,1,0
1985,0,2,0
1986,0,1,0
1987,0,0,0
1988,0,0,0
1989,3,1,1
1990,1,1,0
1991,3,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,1,0,0
2000,0,1,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,2,1,0
2006,2,0,0
2007,4,1,0
2008,11,0,0
2009,9,0,0
2010,5,1,1
2011,1,0,0
2012,1,0,0
2013,3,0,0
2014,2,0,0
2015,2,0,0
2016,4,0,0
2017,4,5,0
2018,6,0,0
2019,15,1,0
2020,4,13,0
2021,9,12,1
2022,7,3,2
