Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,5,0,0
2004,4,3,2
2005,4,0,0
2006,3,3,0
2007,5,1,0
2008,29,0,0
2009,18,0,0
2010,18,3,3
2011,13,1,0
2012,12,2,0
2013,13,1,0
2014,19,7,2
2015,28,3,2
2016,10,4,2
2017,4,3,0
2018,5,3,0
2019,8,3,0
2020,5,9,2
2021,7,5,0
2022,6,7,5
