Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,2,0
1973,0,2,0
1974,0,1,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,0,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,2,0
1984,0,1,0
1985,0,0,0
1986,0,0,0
1987,0,4,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,2,0
1992,0,1,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,1,0
1997,0,1,0
1998,2,0,0
1999,1,1,0
2000,0,2,0
2001,1,0,0
2002,0,1,0
2003,0,0,0
2004,0,1,0
2005,0,0,0
2006,0,5,0
2007,0,0,0
2008,3,0,0
2009,4,4,0
2010,4,4,0
2011,5,6,1
2012,3,1,2
2013,1,9,0
2014,4,4,2
2015,2,3,1
2016,5,0,0
2017,2,0,0
2018,1,0,0
2019,8,2,1
2020,2,11,4
2021,7,14,6
2022,0,2,0
