Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,2,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,3,0
1979,0,3,0
1980,0,3,0
1981,0,5,0
1982,0,1,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,1,0
1989,0,0,0
1990,0,2,0
1991,0,0,0
1992,0,1,0
1993,0,2,0
1994,1,0,0
1995,1,4,0
1996,0,1,0
1997,0,0,0
1998,0,2,0
1999,0,0,0
2000,0,8,0
2001,0,3,0
2002,0,0,0
2003,0,3,0
2004,0,6,0
2005,1,3,1
2006,0,1,0
2007,2,4,3
2008,0,1,0
2009,2,4,0
2010,2,0,0
2011,0,0,0
2012,0,1,0
2013,1,8,0
2014,1,6,1
2015,6,4,0
2016,2,13,0
2017,3,6,1
2018,4,0,0
2019,9,4,4
2020,1,19,0
2021,9,25,4
2022,6,6,0
