Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,2,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,1,0
1983,0,0,0
1984,0,1,0
1985,0,2,0
1986,0,3,0
1987,0,4,0
1988,0,0,0
1989,1,2,0
1990,2,1,1
1991,0,0,0
1992,1,0,0
1993,0,0,0
1994,1,1,0
1995,0,1,0
1996,3,0,0
1997,3,4,0
1998,1,0,0
1999,2,1,0
2000,1,1,0
2001,0,0,0
2002,1,0,0
2003,0,0,0
2004,0,3,0
2005,4,0,0
2006,0,1,0
2007,3,0,0
2008,1,2,2
2009,3,1,1
2010,9,0,0
2011,3,0,0
2012,1,0,0
2013,0,0,0
2014,1,3,0
2015,1,0,0
2016,2,0,0
2017,0,1,0
2018,2,0,0
2019,6,1,1
2020,2,7,0
2021,2,3,1
2022,7,2,1
