Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,1,0
1973,0,0,0
1974,0,0,0
1975,0,2,0
1976,0,0,0
1977,0,3,0
1978,0,0,0
1979,0,0,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,2,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,6,0
1989,0,4,0
1990,0,0,0
1991,0,1,0
1992,0,2,0
1993,0,0,0
1994,0,3,0
1995,0,2,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,1,0
2000,0,1,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,4,0
2005,0,2,0
2006,0,0,0
2007,18,4,9
2008,0,2,0
2009,0,2,0
2010,0,4,0
2011,0,1,0
2012,0,1,0
2013,0,9,0
2014,0,0,0
2015,0,0,0
2016,0,1,0
2017,0,3,0
2018,2,0,0
2019,5,13,0
2020,6,30,1
2021,12,18,1
2022,11,5,1
