Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,2,0
1994,0,0,0
1995,0,1,0
1996,0,1,0
1997,0,1,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,2,0
2002,0,0,0
2003,0,4,0
2004,0,1,0
2005,0,1,0
2006,0,1,0
2007,2,1,1
2008,3,1,1
2009,3,1,1
2010,1,2,1
2011,5,2,2
2012,2,0,0
2013,1,4,2
2014,1,1,1
2015,3,0,0
2016,3,1,1
2017,4,1,1
2018,2,2,2
2019,4,2,1
2020,0,7,0
2021,4,13,3
2022,3,3,3
