Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,2,2,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,2,0
1988,1,0,0
1989,1,0,0
1990,0,0,0
1991,1,1,0
1992,2,1,0
1993,0,1,0
1994,0,0,0
1995,0,1,0
1996,1,1,0
1997,0,2,0
1998,4,0,0
1999,0,0,0
2000,1,11,0
2001,0,1,0
2002,0,4,0
2003,0,2,0
2004,2,2,0
2005,1,0,0
2006,1,1,1
2007,12,6,2
2008,2,2,1
2009,8,2,4
2010,6,3,4
2011,1,1,0
2012,3,1,0
2013,7,2,0
2014,8,1,1
2015,7,2,0
2016,7,3,1
2017,8,2,0
2018,6,2,1
2019,9,1,0
2020,2,8,1
2021,4,8,3
2022,2,6,0
