Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,1,0
1973,0,0,0
1974,0,1,0
1975,0,2,0
1976,0,1,0
1977,0,0,0
1978,0,1,0
1979,0,0,0
1980,0,2,0
1981,0,3,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,2,0
1989,0,2,0
1990,0,2,0
1991,0,0,0
1992,1,0,0
1993,0,0,0
1994,0,0,0
1995,0,2,0
1996,0,0,0
1997,0,0,0
1998,1,0,0
1999,1,1,0
2000,1,0,0
2001,1,0,0
2002,0,0,0
2003,0,0,0
2004,0,1,0
2005,0,0,0
2006,0,1,0
2007,6,3,1
2008,2,5,0
2009,6,0,0
2010,1,1,1
2011,1,3,1
2012,0,0,0
2013,0,1,0
2014,5,1,1
2015,2,0,0
2016,1,1,0
2017,7,0,0
2018,15,4,1
2019,25,1,0
2020,17,20,8
2021,15,30,5
2022,4,2,0
