Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,1,0
1974,0,1,0
1975,0,0,0
1976,0,1,0
1977,0,1,0
1978,0,0,0
1979,0,2,0
1980,0,1,0
1981,0,1,0
1982,0,0,0
1983,0,0,0
1984,0,1,0
1985,0,5,0
1986,0,2,0
1987,0,0,0
1988,0,0,0
1989,0,1,0
1990,0,0,0
1991,0,1,0
1992,0,0,0
1993,1,0,0
1994,0,1,0
1995,0,0,0
1996,0,1,0
1997,3,1,0
1998,2,1,0
1999,0,1,0
2000,0,0,0
2001,1,0,0
2002,0,1,0
2003,0,3,0
2004,4,0,0
2005,0,2,0
2006,4,10,10
2007,11,4,2
2008,10,0,0
2009,7,4,0
2010,7,0,0
2011,17,0,0
2012,4,2,0
2013,9,3,0
2014,8,0,0
2015,3,1,0
2016,9,0,0
2017,3,0,0
2018,7,0,0
2019,11,1,1
2020,1,20,2
2021,2,12,0
2022,4,7,0
