Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,1,0
1973,0,0,0
1974,0,1,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,1,0
1989,0,0,0
1990,0,0,0
1991,0,1,0
1992,1,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,2,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,11,0
2004,0,0,0
2005,0,5,0
2006,0,0,0
2007,9,0,0
2008,1,1,1
2009,5,6,3
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,3,1,0
2014,4,5,3
2015,1,0,0
2016,4,1,0
2017,2,0,0
2018,2,0,0
2019,2,6,0
2020,4,5,1
2021,4,4,0
2022,3,1,0
