Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,1,0
1993,1,0,0
1994,0,0,0
1995,0,0,0
1996,1,0,0
1997,1,1,0
1998,1,2,0
1999,0,5,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,5,0
2004,0,4,0
2005,0,6,0
2006,0,1,0
2007,2,0,0
2008,8,0,0
2009,9,0,0
2010,1,4,0
2011,5,0,0
2012,1,1,1
2013,3,0,0
2014,4,0,0
2015,6,5,2
2016,4,2,2
2017,1,0,0
2018,3,0,0
2019,1,1,0
2020,6,15,1
2021,18,10,6
2022,3,10,4
