Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,22,0,0
2000,10,4,2
2001,2,0,0
2002,6,4,0
2003,1,14,1
2004,0,0,0
2005,2,0,0
2006,2,1,0
2007,3,0,0
2008,7,1,1
2009,8,3,1
2010,4,14,1
2011,10,3,4
2012,11,2,0
2013,14,5,0
2014,15,3,3
2015,5,6,2
2016,15,7,0
2017,5,0,0
2018,11,17,2
2019,12,8,6
2020,5,31,2
2021,11,11,3
2022,15,7,1
