Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,2,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,0,0
1987,0,0,0
1988,0,2,0
1989,1,0,0
1990,2,2,0
1991,0,0,0
1992,1,0,0
1993,0,1,0
1994,0,3,0
1995,1,3,1
1996,0,1,0
1997,2,1,0
1998,2,2,0
1999,0,2,0
2000,0,0,0
2001,0,0,0
2002,0,1,0
2003,0,2,0
2004,0,1,0
2005,0,2,0
2006,0,1,0
2007,4,0,0
2008,5,3,0
2009,10,1,0
2010,0,1,0
2011,8,5,2
2012,6,0,0
2013,3,0,0
2014,4,3,0
2015,3,0,0
2016,4,2,0
2017,5,5,0
2018,4,1,0
2019,13,1,0
2020,0,16,0
2021,14,16,1
2022,12,2,2
