Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,3,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,4,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,1,0,0
1991,0,0,0
1992,0,0,0
1993,1,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,1,0
1998,2,0,0
1999,0,2,0
2000,0,6,0
2001,0,5,0
2002,0,0,0
2003,3,6,1
2004,0,3,0
2005,3,1,0
2006,5,0,0
2007,15,0,0
2008,5,0,0
2009,11,0,0
2010,8,0,0
2011,11,12,0
2012,15,1,1
2013,8,3,0
2014,13,3,1
2015,19,3,0
2016,15,3,0
2017,14,0,0
2018,28,3,3
2019,11,2,4
2020,2,16,0
2021,13,22,2
2022,11,16,3
