Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,2,0
1977,0,3,0
1978,0,0,0
1979,0,2,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,2,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,1,3,0
2002,1,1,0
2003,1,7,0
2004,3,3,0
2005,2,5,0
2006,2,10,1
2007,1,7,0
2008,1,10,0
2009,7,5,4
2010,5,8,0
2011,5,2,0
2012,0,2,0
2013,0,2,0
2014,3,6,0
2015,4,4,1
2016,1,2,0
2017,4,0,0
2018,5,0,0
2019,4,0,0
2020,1,9,2
2021,3,4,2
2022,0,0,0
