Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,0,0
1973,0,2,0
1974,0,1,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,1,0
1979,0,0,0
1980,0,0,0
1981,0,1,0
1982,0,2,0
1983,0,2,0
1984,0,1,0
1985,0,1,0
1986,0,2,0
1987,0,0,0
1988,0,1,0
1989,0,0,0
1990,0,2,0
1991,0,0,0
1992,0,4,0
1993,0,3,0
1994,0,0,0
1995,0,1,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,1,0,0
2000,0,2,0
2001,0,6,0
2002,0,0,0
2003,0,3,0
2004,0,1,0
2005,0,1,0
2006,0,0,0
2007,1,1,1
2008,0,1,0
2009,7,2,1
2010,0,5,0
2011,1,3,1
2012,1,1,1
2013,1,4,0
2014,1,21,1
2015,6,12,4
2016,5,8,1
2017,5,4,0
2018,7,9,2
2019,7,24,2
2020,7,22,7
2021,4,16,2
2022,5,14,0
