Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,0,0
1973,0,0,0
1974,0,1,0
1975,0,1,0
1976,0,0,0
1977,0,1,0
1978,0,3,0
1979,0,0,0
1980,0,0,0
1981,0,1,0
1982,0,1,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,2,0
1987,0,1,0
1988,1,1,1
1989,0,1,0
1990,0,1,0
1991,1,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,2,0,0
1998,0,0,0
1999,0,2,0
2000,0,2,0
2001,0,3,0
2002,0,2,0
2003,1,0,0
2004,0,3,0
2005,3,4,0
2006,0,0,0
2007,2,0,0
2008,4,1,0
2009,3,1,0
2010,2,2,1
2011,4,3,0
2012,2,2,0
2013,5,4,0
2014,3,4,1
2015,5,0,0
2016,2,0,0
2017,8,0,0
2018,4,1,0
2019,11,1,0
2020,3,12,0
2021,7,6,4
2022,5,7,2
