Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,1,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,2,0
1984,0,2,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,4,0,0
1991,0,0,0
1992,1,0,0
1993,0,0,0
1994,0,5,0
1995,0,2,0
1996,0,0,0
1997,0,1,0
1998,0,1,0
1999,0,4,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,1,0
2004,0,3,0
2005,0,5,0
2006,0,3,0
2007,4,0,0
2008,2,4,0
2009,5,2,0
2010,2,3,1
2011,1,0,0
2012,0,2,0
2013,4,2,2
2014,0,8,0
2015,6,1,2
2016,4,4,0
2017,1,0,0
2018,0,0,0
2019,3,6,0
2020,5,20,3
2021,5,12,0
2022,12,3,3
