Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,1,0
1979,0,0,0
1980,0,2,0
1981,0,3,0
1982,0,0,0
1983,0,1,0
1984,0,1,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,2,0,0
1991,2,0,0
1992,0,1,0
1993,0,0,0
1994,0,0,0
1995,2,1,0
1996,2,0,0
1997,4,0,0
1998,6,0,0
1999,1,0,0
2000,2,0,0
2001,6,7,9
2002,6,5,2
2003,6,6,2
2004,5,1,0
2005,8,3,0
2006,4,5,1
2007,8,8,1
2008,14,8,0
2009,16,3,6
2010,8,3,1
2011,4,9,1
2012,2,2,0
2013,2,5,0
2014,5,10,1
2015,14,2,1
2016,2,3,0
2017,7,3,2
2018,4,0,0
2019,17,4,0
2020,4,6,1
2021,19,16,2
2022,7,5,2
