Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,2,0
1984,0,1,0
1985,0,5,0
1986,0,3,0
1987,0,1,0
1988,0,2,0
1989,0,1,0
1990,0,2,0
1991,4,1,0
1992,1,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,2,0,0
1998,2,1,0
1999,0,0,0
2000,2,3,0
2001,3,1,0
2002,1,0,0
2003,0,3,0
2004,0,2,0
2005,0,2,0
2006,2,2,0
2007,4,1,0
2008,3,0,0
2009,18,2,0
2010,11,0,0
2011,10,12,0
2012,5,0,0
2013,7,0,0
2014,6,3,2
2015,15,2,0
2016,12,4,6
2017,8,5,4
2018,11,1,0
2019,15,6,3
2020,6,11,2
2021,9,25,2
2022,19,5,0
