Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,1,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,2,0
1985,0,0,0
1986,0,1,0
1987,0,0,0
1988,1,0,0
1989,1,0,0
1990,7,5,0
1991,2,0,0
1992,1,0,0
1993,0,1,0
1994,0,2,0
1995,0,0,0
1996,1,1,0
1997,7,0,0
1998,7,0,0
1999,2,0,0
2000,1,1,0
2001,1,2,0
2002,1,0,0
2003,0,3,0
2004,1,1,0
2005,2,1,0
2006,5,1,0
2007,10,3,0
2008,15,1,0
2009,8,0,0
2010,7,3,1
2011,8,0,0
2012,12,0,0
2013,5,2,0
2014,2,2,1
2015,4,1,1
2016,7,4,2
2017,15,5,1
2018,3,6,0
2019,7,0,0
2020,5,11,2
2021,9,7,3
2022,8,1,1
