Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,1,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,5,0
1978,0,5,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,1,2,0
1983,0,0,0
1984,0,4,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,1,0
1989,0,0,0
1990,0,0,0
1991,0,1,0
1992,1,3,0
1993,0,0,0
1994,0,1,0
1995,0,4,0
1996,0,2,0
1997,0,1,0
1998,0,2,0
1999,0,4,0
2000,0,9,0
2001,0,3,0
2002,0,3,0
2003,0,27,0
2004,0,0,0
2005,0,3,0
2006,0,5,0
2007,1,6,0
2008,1,3,0
2009,1,5,0
2010,2,2,0
2011,5,4,0
2012,1,3,1
2013,3,3,0
2014,8,4,0
2015,1,5,0
2016,2,0,0
2017,2,1,0
2018,1,0,0
2019,9,3,4
2020,1,18,2
2021,2,16,1
2022,2,4,0
