Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,1,0
1976,0,0,0
1977,0,3,0
1978,0,0,0
1979,0,2,0
1980,0,4,0
1981,0,1,0
1982,0,0,0
1983,0,1,0
1984,0,2,0
1985,0,6,0
1986,0,3,0
1987,0,1,0
1988,1,3,0
1989,1,2,0
1990,0,1,0
1991,0,0,0
1992,4,0,0
1993,0,5,0
1994,0,4,0
1995,0,0,0
1996,0,0,0
1997,1,1,0
1998,0,0,0
1999,0,0,0
2000,0,10,0
2001,0,3,0
2002,0,6,0
2003,0,0,0
2004,1,1,0
2005,1,10,0
2006,0,3,0
2007,8,4,0
2008,8,1,0
2009,8,4,1
2010,5,3,0
2011,2,2,1
2012,9,1,0
2013,3,8,3
2014,6,2,0
2015,7,0,0
2016,3,0,0
2017,12,8,0
2018,8,4,0
2019,14,1,0
2020,5,16,0
2021,4,4,2
2022,8,9,1
