Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,1,0
1973,0,3,0
1974,0,2,0
1975,0,0,0
1976,0,1,0
1977,0,1,0
1978,0,1,0
1979,0,5,0
1980,0,1,0
1981,0,1,0
1982,0,1,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,1,1,0
1987,0,2,0
1988,0,0,0
1989,0,1,0
1990,0,2,0
1991,0,0,0
1992,0,3,0
1993,0,2,0
1994,0,0,0
1995,0,0,0
1996,0,1,0
1997,0,0,0
1998,0,2,0
1999,0,0,0
2000,0,7,0
2001,0,0,0
2002,0,1,0
2003,0,1,0
2004,0,1,0
2005,0,1,0
2006,0,4,0
2007,7,4,0
2008,4,3,0
2009,6,2,0
2010,6,2,0
2011,4,1,0
2012,3,1,0
2013,5,1,0
2014,5,1,0
2015,0,1,0
2016,0,0,0
2017,2,0,0
2018,0,0,0
2019,1,1,0
2020,1,8,0
2021,0,5,0
2022,1,0,0
