Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,1,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,1,0
1981,0,2,0
1982,0,2,0
1983,0,2,0
1984,0,4,0
1985,0,4,0
1986,0,3,0
1987,0,1,0
1988,0,0,0
1989,0,2,0
1990,0,0,0
1991,1,1,0
1992,0,1,0
1993,1,1,0
1994,0,0,0
1995,0,1,0
1996,0,2,0
1997,0,2,0
1998,0,0,0
1999,1,1,0
2000,0,2,0
2001,1,1,0
2002,0,5,0
2003,0,1,0
2004,0,0,0
2005,0,0,0
2006,1,1,0
2007,2,1,0
2008,2,0,0
2009,3,1,0
2010,1,3,0
2011,2,1,0
2012,2,2,1
2013,3,9,6
2014,1,6,2
2015,0,2,0
2016,1,1,0
2017,4,0,0
2018,4,2,0
2019,14,4,3
2020,3,5,0
2021,6,15,3
2022,9,8,4
