Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,1,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,1,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,1,0
2000,0,1,0
2001,0,0,0
2002,0,2,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,3,0,0
2008,2,1,1
2009,3,0,0
2010,3,0,0
2011,0,5,0
2012,0,2,0
2013,1,1,0
2014,10,0,0
2015,5,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,1,2,0
2021,0,9,0
2022,0,1,0
