Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,1,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,0,0
1979,0,1,0
1980,0,1,0
1981,0,0,0
1982,0,0,0
1983,0,1,0
1984,0,5,0
1985,0,0,0
1986,0,1,0
1987,0,0,0
1988,0,1,0
1989,0,3,0
1990,0,6,0
1991,0,0,0
1992,0,1,0
1993,0,0,0
1994,0,0,0
1995,0,5,0
1996,0,2,0
1997,0,3,0
1998,0,0,0
1999,0,7,0
2000,0,2,0
2001,0,5,0
2002,0,4,0
2003,0,3,0
2004,0,5,0
2005,0,0,0
2006,0,2,0
2007,3,7,1
2008,1,6,1
2009,5,2,0
2010,2,2,0
2011,6,3,3
2012,4,2,2
2013,9,3,5
2014,5,5,0
2015,5,2,2
2016,3,1,1
2017,8,1,0
2018,0,2,0
2019,12,1,1
2020,5,24,3
2021,8,24,8
2022,14,12,2
