Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,6,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,3,0
1980,0,2,0
1981,0,0,0
1982,0,3,0
1983,0,1,0
1984,0,5,0
1985,0,4,0
1986,0,5,0
1987,0,5,0
1988,0,3,0
1989,0,0,0
1990,0,3,0
1991,0,0,0
1992,0,0,0
1993,0,2,0
1994,0,3,0
1995,0,3,0
1996,0,1,0
1997,0,1,0
1998,0,2,0
1999,0,3,0
2000,0,0,0
2001,0,5,0
2002,0,2,0
2003,0,2,0
2004,0,8,0
2005,0,3,0
2006,0,2,0
2007,18,0,0
2008,1,10,0
2009,4,6,3
2010,10,2,0
2011,0,3,0
2012,0,0,0
2013,0,0,0
2014,2,1,0
2015,1,1,0
2016,1,0,0
2017,6,0,0
2018,2,1,0
2019,9,1,0
2020,3,10,3
2021,7,9,0
2022,5,9,2
