Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,3,0
1988,0,0,0
1989,0,0,0
1990,1,7,0
1991,0,3,0
1992,2,6,0
1993,0,2,0
1994,0,1,0
1995,0,1,0
1996,0,0,0
1997,0,1,0
1998,0,2,0
1999,0,1,0
2000,0,2,0
2001,0,6,0
2002,0,4,0
2003,0,1,0
2004,0,9,0
2005,0,3,0
2006,1,1,0
2007,6,4,0
2008,5,5,2
2009,9,11,0
2010,2,9,0
2011,4,16,0
2012,6,11,1
2013,3,30,2
2014,8,12,0
2015,7,12,1
2016,1,8,0
2017,13,3,0
2018,10,13,5
2019,8,7,0
2020,6,28,6
2021,4,19,3
2022,3,3,1
