Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,15,0,0
1992,9,0,0
1993,6,0,0
1994,8,1,0
1995,12,1,0
1996,4,0,0
1997,0,0,0
1998,8,0,0
1999,8,0,0
2000,3,2,0
2001,14,4,0
2002,6,0,0
2003,7,2,0
2004,4,1,0
2005,2,0,0
2006,10,0,0
2007,10,0,0
2008,17,0,0
2009,15,3,1
2010,12,0,0
2011,14,6,0
2012,11,5,3
2013,12,4,0
2014,29,11,14
2015,7,1,1
2016,14,1,3
2017,11,1,0
2018,5,0,0
2019,30,0,0
2020,11,6,2
2021,14,13,5
2022,12,1,0
