Year,Climate,Health,Intersection
1970,0,0,0
1971,0,1,0
1972,0,0,0
1973,0,1,0
1974,0,2,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,5,0
1980,0,2,0
1981,1,2,0
1982,0,2,0
1983,0,3,0
1984,0,1,0
1985,0,2,0
1986,0,0,0
1987,0,2,0
1988,0,1,0
1989,1,1,0
1990,0,0,0
1991,0,1,0
1992,0,2,0
1993,0,1,0
1994,0,1,0
1995,0,0,0
1996,0,2,0
1997,0,1,0
1998,0,0,0
1999,0,1,0
2000,0,1,0
2001,0,0,0
2002,0,0,0
2003,0,3,0
2004,0,2,0
2005,0,0,0
2006,0,0,0
2007,2,2,0
2008,1,7,0
2009,2,4,0
2010,3,0,0
2011,2,0,0
2012,0,3,0
2013,0,9,0
2014,5,3,0
2015,2,0,0
2016,2,7,0
2017,3,3,3
2018,1,3,0
2019,0,1,0
2020,2,13,0
2021,10,14,4
2022,9,6,1
