Year,Climate,Health,Intersection
1970,0,0,0
1971,0,2,0
1972,0,2,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,3,0
1980,0,1,0
1981,0,2,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,3,0
1995,0,0,0
1996,0,3,0
1997,0,0,0
1998,0,6,0
1999,0,4,0
2000,0,1,0
2001,0,7,0
2002,0,7,0
2003,0,5,0
2004,0,0,0
2005,0,8,0
2006,0,5,0
2007,0,1,0
2008,0,0,0
2009,4,0,0
2010,7,7,1
2011,2,2,0
2012,0,0,0
2013,0,1,0
2014,2,5,1
2015,3,6,1
2016,2,0,0
2017,6,0,0
2018,2,5,0
2019,9,6,1
2020,2,17,0
2021,6,31,0
2022,6,2,0
