Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,1,0
1976,0,0,0
1977,0,0,0
1978,0,1,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,1,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,2,0
1987,0,0,0
1988,1,1,0
1989,2,1,0
1990,2,3,0
1991,0,0,0
1992,0,2,0
1993,0,0,0
1994,0,2,0
1995,2,0,0
1996,0,2,0
1997,0,1,0
1998,7,1,0
1999,0,0,0
2000,0,3,0
2001,2,1,0
2002,1,1,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,3,3,2
2007,14,2,2
2008,5,0,0
2009,4,0,0
2010,3,0,0
2011,7,3,5
2012,2,1,0
2013,4,2,0
2014,8,2,0
2015,6,1,1
2016,3,1,0
2017,8,3,0
2018,8,1,0
2019,12,6,4
2020,7,4,1
2021,9,5,2
2022,5,9,7
