Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,1,0
1980,0,0,0
1981,0,2,0
1982,0,0,0
1983,0,1,0
1984,0,0,0
1985,0,3,0
1986,0,0,0
1987,1,6,0
1988,1,1,0
1989,0,0,0
1990,1,0,0
1991,0,0,0
1992,0,0,0
1993,1,1,0
1994,0,0,0
1995,4,1,0
1996,6,0,0
1997,0,0,0
1998,13,0,0
1999,0,1,0
2000,0,0,0
2001,5,0,0
2002,2,1,0
2003,0,0,0
2004,0,1,0
2005,0,0,0
2006,4,2,0
2007,13,3,2
2008,12,0,0
2009,15,1,0
2010,15,0,0
2011,6,7,0
2012,7,0,0
2013,13,0,0
2014,14,1,1
2015,41,0,0
2016,11,2,2
2017,12,0,0
2018,20,1,1
2019,24,1,1
2020,8,13,3
2021,11,11,5
2022,16,22,5
