Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,2,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,7,0
1978,0,3,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,2,0
1986,0,3,0
1987,0,0,0
1988,1,2,0
1989,2,0,0
1990,1,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,1,5,0
1996,1,3,3
1997,4,0,0
1998,0,3,0
1999,0,2,0
2000,2,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,3,1,0
2005,0,1,0
2006,13,1,0
2007,8,3,0
2008,3,0,0
2009,7,5,1
2010,3,1,0
2011,0,0,0
2012,0,0,0
2013,4,1,0
2014,0,0,0
2015,4,1,1
2016,3,0,0
2017,1,0,0
2018,1,0,0
2019,2,3,0
2020,1,21,2
2021,12,3,1
2022,1,2,0
