Year,Climate,Health,Intersection
1970,0,1,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,1,0
1979,0,2,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,0,0
1987,0,1,0
1988,0,0,0
1989,0,0,0
1990,0,3,0
1991,1,1,0
1992,0,4,0
1993,0,1,0
1994,0,3,0
1995,0,0,0
1996,0,1,0
1997,0,0,0
1998,0,2,0
1999,0,0,0
2000,0,1,0
2001,0,2,0
2002,0,0,0
2003,0,2,0
2004,0,0,0
2005,0,6,0
2006,0,2,0
2007,4,0,0
2008,2,1,0
2009,7,1,3
2010,1,1,1
2011,3,1,0
2012,1,1,1
2013,4,2,0
2014,3,5,2
2015,1,1,0
2016,0,0,0
2017,4,3,1
2018,2,0,0
2019,2,4,0
2020,0,9,0
2021,2,7,0
2022,3,0,0
