,Year,intersection,health,climate
0,2011,0.0,3.1,0.1
1,2012,0.6,3.9,1.5
2,2013,0.0,4.2,0.4
3,2014,0.3076923076923077,6.923076923076923,1.5384615384615385
4,2015,0.23076923076923078,9.0,1.3846153846153846
5,2016,0.15384615384615385,6.923076923076923,2.1538461538461537
6,2017,0.125,5.5,2.125
7,2018,0.1111111111111111,8.88888888888889,1.4444444444444444
8,2019,0.1111111111111111,8.222222222222221,1.6666666666666667
9,2020,0.3,6.8,2.2
10,2021,0.4444444444444444,10.555555555555555,2.6666666666666665
11,2022,0.3,9.1,2.9
