,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,1.5,0.25
1,Alternative Energy,4.0,46.33,14.33
2,Automobiles & Parts,1.22,52.33,33.33
3,Banks,3.5,107.0,26.5
4,Beverages,0.5,8.5,6.0
5,Chemicals,1.28,16.94,6.11
6,Construction & Materials,0.08,8.69,2.38
7,Diversified,0.52,11.46,3.52
8,Electricity,0.5,20.5,10.25
9,Electronic & Electrical Equ...,0.67,9.52,4.05
10,Equity Investment Instruments,0.0,4.0,2.0
11,Financial Services,0.87,19.07,6.9
12,Fixed Line Telecommunications,0.0,0.0,0.0
13,Food & Drug Retailers,0.25,18.88,3.88
14,Food Producers,1.12,30.92,8.83
15,Forestry & Paper,0.0,1.33,0.67
16,"Gas, Water & Multiutilities",1.6,15.8,8.4
17,General Industrials,0.28,11.81,3.65
18,General Retailers,0.75,18.36,8.93
19,Health Care Equipment & Ser...,0.57,108.0,5.14
20,Household Goods & Home Cons...,4.0,235.0,99.0
21,Industrial Engineering,0.36,9.08,2.12
22,Industrial Metals & Mining,1.0,19.0,8.6
23,Industrial Transportation,1.93,18.14,8.07
24,Leisure Goods,0.17,11.0,3.67
25,Life Insurance,0.0,0.0,0.0
26,Media,0.17,7.03,1.53
27,Mobile Telecommunications,0.0,22.67,1.67
28,Nonlife Insurance,0.44,11.89,2.33
29,Not Applicable,0.0,5.0,1.0
30,Oil & Gas Producers,3.67,41.56,19.78
31,Personal Goods,0.22,12.22,6.0
32,Pharmaceuticals & Biotechno...,2.85,46.85,9.31
33,Real Estate Investment & Se...,0.0,7.25,1.5
34,Real Estate Investment Trusts,3.0,28.0,38.0
35,Software & Computer Services,0.18,8.8,3.06
36,Support Services,0.4,14.69,4.27
37,Technology Hardware & Equip...,0.29,11.64,3.29
38,Travel & Leisure,0.0,6.67,2.67
