,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011,93.0,1135.0,2054.0,3282.0
1,Tier 1,2012,96.0,1312.0,4028.0,5436.0
2,Tier 1,2013,53.0,1437.0,2944.0,4434.0
3,Tier 1,2014,68.0,1604.0,3400.0,5072.0
4,Tier 1,2015,70.0,1428.0,2774.0,4272.0
5,Tier 1,2016,96.0,1630.0,3317.0,5043.0
6,Tier 1,2017,65.0,1419.0,3108.0,4592.0
7,Tier 1,2018,91.0,1531.0,3655.0,5277.0
8,Tier 1,2019,142.0,1924.0,4383.0,6449.0
9,Tier 1,2020,137.0,2022.0,4644.0,6803.0
10,Tier 1,2021,409.0,3621.0,11204.0,15234.0
11,Tier 1,2022,425.0,5236.0,10310.0,15971.0
