,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,10.0,5.25
1,Alternative Energy,0.5,9.0,10.25
2,Automobiles & Parts,1.82,31.73,22.73
3,Banks,1.0,29.5,18.5
4,Beverages,0.0,4.4,2.4
5,Chemicals,1.27,14.67,7.4
6,Construction & Materials,0.2,7.27,3.13
7,Diversified,0.56,9.7,5.33
8,Electricity,0.0,20.0,4.5
9,Electronic & Electrical Equ...,0.31,8.28,4.38
10,Equity Investment Instruments,0.0,4.0,2.0
11,Financial Services,1.79,23.21,15.53
12,Fixed Line Telecommunications,0.0,0.4,1.8
13,Food & Drug Retailers,0.4,25.6,7.8
14,Food Producers,0.93,21.61,7.57
15,Forestry & Paper,0.0,1.0,0.0
16,"Gas, Water & Multiutilities",0.0,4.75,2.0
17,General Industrials,0.25,10.89,5.9
18,General Retailers,0.53,12.06,7.86
19,Health Care Equipment & Ser...,0.0,10.71,0.86
20,Household Goods & Home Cons...,0.0,11.33,4.67
21,Industrial Engineering,0.44,10.74,3.15
22,Industrial Metals & Mining,0.83,13.5,10.17
23,Industrial Transportation,1.4,11.87,7.07
24,Leisure Goods,0.5,11.17,5.33
25,Life Insurance,0.0,3.0,0.0
26,Media,0.03,6.7,1.8
27,Mobile Telecommunications,0.0,12.67,2.67
28,Nonequity Investment Instru...,0.0,6.0,9.0
29,Nonlife Insurance,0.38,16.75,4.75
30,Oil & Gas Producers,1.0,23.38,20.31
31,"Oil Equipment, Services & D...",2.5,22.5,49.5
32,Personal Goods,0.69,16.54,9.62
33,Pharmaceuticals & Biotechno...,1.23,68.38,13.08
34,Real Estate Investment & Se...,0.0,4.33,1.0
35,Real Estate Investment Trusts,11.0,158.0,97.5
36,Software & Computer Services,0.26,9.16,3.84
37,Support Services,0.44,12.68,6.4
38,Technology Hardware & Equip...,0.15,8.46,4.23
39,Travel & Leisure,0.0,3.5,1.12
