,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011,0.0,10.0,18.0,28.0,Health Care Equipment & Ser...
1,Very High,2012,0.0,10.0,58.0,68.0,Health Care Equipment & Ser...
2,Very High,2013,0.0,11.0,79.0,90.0,Health Care Equipment & Ser...
3,Very High,2014,0.0,4.0,45.0,49.0,Health Care Equipment & Ser...
4,Very High,2015,0.0,6.0,48.0,54.0,Health Care Equipment & Ser...
5,Very High,2016,0.0,14.0,32.0,46.0,Health Care Equipment & Ser...
6,Very High,2017,0.0,10.0,53.0,63.0,Health Care Equipment & Ser...
7,Very High,2018,1.0,20.0,121.0,142.0,Health Care Equipment & Ser...
8,Very High,2019,1.0,32.0,135.0,168.0,Health Care Equipment & Ser...
9,Very High,2020,1.0,7.0,128.0,136.0,Health Care Equipment & Ser...
10,Very High,2021,2.0,92.0,153.0,247.0,Health Care Equipment & Ser...
11,Very High,2022,36.0,183.0,761.0,980.0,Health Care Equipment & Ser...
