,Sector,intersection,climate,health
0,Aerospace & Defense,27.0,745.0,1393.0
1,Alternative Energy,11.0,122.0,230.0
2,Automobiles & Parts,116.0,2069.0,3116.0
3,Banks,45.0,1467.0,2233.0
4,Beverages,1.0,33.0,100.0
5,Chemicals,144.0,1437.0,4084.0
6,Construction & Materials,14.0,341.0,1011.0
7,Diversified,120.0,1966.0,4173.0
8,Electricity,37.0,1272.0,1399.0
9,Electronic & Electrical Equ...,24.0,399.0,785.0
10,Equity Investment Instruments,3.0,32.0,86.0
11,Financial Services,299.0,3026.0,3547.0
12,Fixed Line Telecommunications,0.0,0.0,2.0
13,Food & Drug Retailers,3.0,206.0,150.0
14,Food Producers,20.0,149.0,501.0
15,Forestry & Paper,0.0,66.0,111.0
16,"Gas, Water & Multiutilities",58.0,1188.0,1224.0
17,General Industrials,37.0,677.0,2260.0
18,General Retailers,16.0,736.0,1374.0
19,Health Care Equipment & Ser...,41.0,399.0,1631.0
20,Household Goods & Home Cons...,33.0,427.0,732.0
21,Industrial Engineering,49.0,808.0,2258.0
22,Industrial Metals & Mining,2.0,62.0,287.0
23,Industrial Transportation,19.0,607.0,1108.0
24,Media,5.0,427.0,1064.0
25,Mining,10.0,235.0,673.0
26,Mobile Telecommunications,31.0,310.0,509.0
27,Nonlife Insurance,69.0,427.0,482.0
28,Not Applicable,0.0,3.0,25.0
29,Oil & Gas Producers,24.0,582.0,1005.0
30,"Oil Equipment, Services & D...",0.0,1.0,16.0
31,Personal Goods,24.0,404.0,846.0
32,Pharmaceuticals & Biotechno...,167.0,915.0,5633.0
33,Real Estate Investment & Se...,31.0,434.0,437.0
34,Software & Computer Services,117.0,1442.0,2200.0
35,Support Services,37.0,591.0,1310.0
36,Technology Hardware & Equip...,28.0,756.0,1329.0
37,Travel & Leisure,83.0,911.0,1456.0
