,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.8,0.82,0.25,2022
1,Alternative Energy,1.0,0.76,0.14,2022
2,Automobiles & Parts,0.8,0.92,0.43,2022
3,Banks,0.93,0.95,0.34,2022
4,Beverages,0.33,0.33,0.33,2022
5,Chemicals,0.75,0.91,0.24,2022
6,Construction & Materials,0.77,0.9,0.27,2022
7,Diversified,0.75,0.95,0.32,2022
8,Electricity,0.83,1.0,0.28,2022
9,Electronic & Electrical Equ...,0.59,0.72,0.14,2022
10,Equity Investment Instruments,0.55,0.82,0.09,2022
11,Financial Services,0.68,0.9,0.27,2022
12,Fixed Line Telecommunications,0.0,0.67,0.0,2022
13,Food & Drug Retailers,0.78,0.89,0.22,2022
14,Food Producers,0.56,0.81,0.28,2022
15,Forestry & Paper,0.69,0.85,0.0,2022
16,"Gas, Water & Multiutilities",0.79,0.89,0.57,2022
17,General Industrials,0.66,0.77,0.14,2022
18,General Retailers,0.58,0.74,0.09,2022
19,Health Care Equipment & Ser...,0.48,0.91,0.09,2022
20,Household Goods & Home Cons...,0.82,0.85,0.2,2022
21,Industrial Engineering,0.59,0.82,0.22,2022
22,Industrial Metals & Mining,0.59,0.76,0.12,2022
23,Industrial Transportation,0.82,0.98,0.18,2022
24,Media,0.44,0.51,0.03,2022
25,Mining,0.7,0.7,0.4,2022
26,Mobile Telecommunications,1.0,1.0,1.0,2022
27,Nonlife Insurance,1.0,1.0,1.0,2022
28,Not Applicable,0.67,1.0,0.0,2022
29,Oil & Gas Producers,0.72,0.78,0.28,2022
30,"Oil Equipment, Services & D...",0.33,1.0,0.0,2022
31,Personal Goods,0.76,0.84,0.2,2022
32,Pharmaceuticals & Biotechno...,0.72,0.97,0.51,2022
33,Real Estate Investment & Se...,0.74,0.95,0.42,2022
34,Software & Computer Services,0.51,0.79,0.1,2022
35,Support Services,0.48,0.73,0.08,2022
36,Technology Hardware & Equip...,0.62,0.88,0.12,2022
37,Travel & Leisure,0.81,0.9,0.44,2022
