,Sector,Climate,Health,Intersection,Year
0,Banks,1.0,1.0,1.0,2022
1,Beverages,0.67,0.67,0.0,2022
2,Construction & Materials,0.6,0.95,0.25,2022
3,Diversified,0.83,0.92,0.22,2022
4,Electricity,0.96,0.96,0.64,2022
5,Electronic & Electrical Equ...,1.0,1.0,0.5,2022
6,Financial Services,0.71,0.86,0.29,2022
7,Fixed Line Telecommunications,1.0,1.0,0.33,2022
8,Food Producers,0.69,0.8,0.27,2022
9,"Gas, Water & Multiutilities",1.0,1.0,0.5,2022
10,General Industrials,0.56,0.75,0.19,2022
11,General Retailers,0.65,0.96,0.17,2022
12,Industrial Metals & Mining,0.68,0.96,0.12,2022
13,Industrial Transportation,0.67,0.67,0.33,2022
14,Life Insurance,1.0,1.0,0.43,2022
15,Media,0.27,0.91,0.09,2022
16,Mining,0.86,0.86,0.29,2022
17,Mobile Telecommunications,0.88,0.88,0.25,2022
18,Nonlife Insurance,1.0,0.8,0.3,2022
19,Not Applicable,0.83,1.0,0.33,2022
20,Oil & Gas Producers,0.71,1.0,0.14,2022
21,"Oil Equipment, Services & D...",1.0,1.0,0.0,2022
22,Personal Goods,1.0,1.0,0.33,2022
23,Pharmaceuticals & Biotechno...,0.33,1.0,0.22,2022
24,Real Estate Investment & Se...,1.0,1.0,0.0,2022
25,Support Services,0.29,0.94,0.02,2022
26,Technology Hardware & Equip...,0.0,0.5,0.0,2022
27,Travel & Leisure,1.0,1.0,0.0,2022
