,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,0.0,1.0
1,Beverages,5.0,62.0,230.0
2,Construction & Materials,0.0,1.0,26.0
3,Diversified,0.0,4.0,2.0
4,Financial Services,0.0,0.0,12.0
5,Food & Drug Retailers,1.0,1.0,2.0
6,Food Producers,0.0,5.0,260.0
7,General Industrials,3.0,96.0,1626.0
8,General Retailers,0.0,0.0,0.0
9,Industrial Engineering,0.0,0.0,1.0
10,Industrial Transportation,2.0,3.0,30.0
11,Media,0.0,1.0,7.0
12,Mobile Telecommunications,1.0,3.0,16.0
13,Not Applicable,0.0,0.0,0.0
14,Real Estate Investment & Se...,0.0,3.0,0.0
15,Software & Computer Services,0.0,1.0,29.0
16,Support Services,0.0,0.0,4.0
17,Travel & Leisure,0.0,0.0,2.0
