,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011,0.0,1.0,42.0,43.0,Health Care Equipment & Ser...
1,Very High,2012,0.0,1.0,35.0,36.0,Health Care Equipment & Ser...
2,Very High,2013,0.0,0.0,16.0,16.0,Health Care Equipment & Ser...
3,Very High,2014,0.0,1.0,35.0,36.0,Health Care Equipment & Ser...
4,Very High,2015,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
5,Very High,2016,0.0,1.0,50.0,51.0,Health Care Equipment & Ser...
6,Very High,2017,2.0,3.0,274.0,279.0,Health Care Equipment & Ser...
7,Very High,2018,3.0,3.0,287.0,293.0,Health Care Equipment & Ser...
8,Very High,2019,4.0,10.0,487.0,501.0,Health Care Equipment & Ser...
9,Very High,2020,8.0,6.0,173.0,187.0,Health Care Equipment & Ser...
10,Very High,2021,7.0,7.0,484.0,498.0,Health Care Equipment & Ser...
11,Very High,2022,12.0,7.0,434.0,453.0,Health Care Equipment & Ser...
