,Sector,intersection,climate,health
0,Alternative Energy,24.0,308.0,312.0
1,Automobiles & Parts,61.0,290.0,788.0
2,Banks,2.0,28.0,33.0
3,Beverages,0.0,0.0,0.0
4,Chemicals,21.0,117.0,391.0
5,Construction & Materials,2.0,48.0,253.0
6,Diversified,20.0,422.0,344.0
7,Electricity,16.0,422.0,284.0
8,Electronic & Electrical Equ...,24.0,311.0,526.0
9,Financial Services,40.0,336.0,730.0
10,Fixed Line Telecommunications,16.0,210.0,533.0
11,Food & Drug Retailers,6.0,49.0,327.0
12,Food Producers,37.0,179.0,523.0
13,Forestry & Paper,1.0,45.0,62.0
14,General Industrials,22.0,242.0,475.0
15,General Retailers,6.0,105.0,102.0
16,Health Care Equipment & Ser...,2.0,35.0,180.0
17,Household Goods & Home Cons...,2.0,4.0,74.0
18,Industrial Engineering,1.0,8.0,53.0
19,Industrial Metals & Mining,11.0,182.0,795.0
20,Industrial Transportation,24.0,464.0,764.0
21,Leisure Goods,3.0,51.0,53.0
22,Life Insurance,313.0,382.0,761.0
23,Media,0.0,0.0,3.0
24,Mining,0.0,5.0,27.0
25,Mobile Telecommunications,85.0,859.0,1828.0
26,Not Applicable,0.0,12.0,0.0
27,Oil & Gas Producers,57.0,908.0,1290.0
28,"Oil Equipment, Services & D...",0.0,1.0,4.0
29,Personal Goods,4.0,100.0,162.0
30,Pharmaceuticals & Biotechno...,0.0,12.0,16.0
31,Real Estate Investment & Se...,7.0,139.0,48.0
32,Software & Computer Services,4.0,28.0,262.0
33,Support Services,26.0,333.0,399.0
34,Technology Hardware & Equip...,8.0,469.0,390.0
35,Travel & Leisure,7.0,92.0,237.0
