,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,29.0,365.0,747.0,1141.0
1,Western Pacific,2012,21.0,350.0,717.0,1088.0
2,Western Pacific,2013,13.0,307.0,510.0,830.0
3,Western Pacific,2014,16.0,404.0,813.0,1233.0
4,Western Pacific,2015,28.0,331.0,786.0,1145.0
5,Western Pacific,2016,16.0,258.0,498.0,772.0
6,Western Pacific,2017,32.0,392.0,655.0,1079.0
7,Western Pacific,2018,18.0,493.0,601.0,1112.0
8,Western Pacific,2019,37.0,386.0,664.0,1087.0
9,Western Pacific,2020,51.0,327.0,730.0,1108.0
10,Western Pacific,2021,103.0,589.0,1848.0,2540.0
11,Western Pacific,2022,488.0,2994.0,4460.0,7942.0
